country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Afghanistan,AFG,2021-11-05,504502,448878,55624,13921,1.27,1.13,0.14,349,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,November,Asia
Afghanistan,AFG,2021-10-21,1201286,770542,430744,1119,3.02,1.93,1.08,28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,October,Asia
Afghanistan,AFG,2021-11-07,962093,742934,219159,7455,2.42,1.87,0.55,187,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,November,Asia
Afghanistan,AFG,2021-07-07,934463,735213,199250,6801,2.35,1.85,0.5,171,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,July,Asia
Afghanistan,AFG,2021-05-07,915671,726349,189322,8989,2.3,1.82,0.48,226,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,May,Asia
Afghanistan,AFG,2021-06-27,835694,649434,186260,13682,2.1,1.63,0.47,343,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,June,Asia
Afghanistan,AFG,2021-06-22,765890,582128,183762,12986,1.92,1.46,0.46,326,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,June,Asia
Afghanistan,AFG,2021-06-14,662003,484737,177266,3272,1.66,1.22,0.44,82,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,June,Asia
Afghanistan,AFG,2021-06-30,886854,699200,187654,15286,2.23,1.76,0.47,384,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,June,Asia
Afghanistan,AFG,2021-03-06,630305,481800,148505,5285,1.58,1.21,0.37,133,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,March,Asia
Afghanistan,AFG,2021-02-06,626290,481690,144600,5119,1.57,1.21,0.36,129,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,February,Asia
Afghanistan,AFG,2021-05-30,600152,480226,119926,4746,1.51,1.21,0.3,119,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,2021,May,Asia
