country,iso_code,date,total vaccinations,people vaccinated,people fully vaccinated,daily vaccinations,total vaccinations per_hundred,people vaccinated per_hundred,people fully vaccinated per_hundred,daily vaccinations per_million,vaccines,source name
Afghanistan,AFG,11/05/2021,504502,448878,55624,13921,1.27,1.13,0.14,349,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,20/05/2021,547901,470341,77560,4822,1.38,1.18,0.19,121,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,24/05/2021,573277,476367,96910,5692,1.44,1.2,0.24,143,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,26/05/2021,590454,479372,111082,6768,1.48,1.2,0.28,170,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,27/05/2021,593313,479574,113739,6487,1.49,1.2,0.29,163,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,30/05/2021,600152,480226,119926,4746,1.51,1.21,0.3,119,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,02/06/2021,626290,481690,144600,5119,1.57,1.21,0.36,129,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,03/06/2021,630305,481800,148505,5285,1.58,1.21,0.37,133,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,08/06/2021,641295,482952,158343,3388,1.61,1.21,0.4,85,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,14/06/2021,662003,484737,177266,3272,1.66,1.22,0.44,82,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,22/06/2021,765890,582128,183762,12986,1.92,1.46,0.46,326,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,27/06/2021,835694,649434,186260,13682,2.1,1.63,0.47,343,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,30/06/2021,886854,699200,187654,15286,2.23,1.76,0.47,384,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,05/07/2021,915671,726349,189322,8989,2.3,1.82,0.48,226,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,07/07/2021,934463,735213,199250,6801,2.35,1.85,0.5,171,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,11/07/2021,962093,742934,219159,7455,2.42,1.87,0.55,187,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Afghanistan,AFG,21/10/2021,1201286,770542,430744,1119,3.02,1.93,1.08,28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization
Argentina,ARG,20/01/2021,247933,243539,4394,11586,0.54,0.53,0.01,254,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,21/01/2021,265724,249372,16352,11704,0.58,0.55,0.04,257,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,22/01/2021,279602,254456,25146,11263,0.61,0.56,0.06,247,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,23/01/2021,288064,258876,29188,11124,0.63,0.57,0.06,244,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,24/01/2021,292023,260036,31987,10342,0.64,0.57,0.07,227,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,25/01/2021,292386,260122,32264,9046,0.64,0.57,0.07,198,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,13/02/2021,606245,371629,234616,19266,1.33,0.81,0.51,422,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,14/02/2021,609605,372122,237483,15493,1.34,0.82,0.52,340,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,15/02/2021,609791,372181,237610,14030,1.34,0.82,0.52,308,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,16/02/2021,611169,373253,237916,13999,1.34,0.82,0.52,307,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,17/02/2021,612322,374002,238320,11003,1.34,0.82,0.52,241,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,18/02/2021,635583,392399,243184,8951,1.39,0.86,0.53,196,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,03/04/2021,4178896,3495125,683771,86919,9.16,7.66,1.5,1906,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,04/04/2021,4234505,3550166,684339,87032,9.29,7.78,1.5,1908,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,05/04/2021,4260808,3576423,684385,87820,9.34,7.84,1.5,1926,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,06/04/2021,4404175,3712009,692166,94230,9.66,8.14,1.52,2066,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,07/04/2021,4571819,3870734,701085,97127,10.02,8.49,1.54,2130,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,08/04/2021,4771214,4064154,707060,106885,10.46,8.91,1.55,2344,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,09/04/2021,4956023,4244964,711059,118982,10.87,9.31,1.56,2609,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,10/04/2021,5201468,4478948,722520,146082,11.41,9.82,1.58,3203,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,11/04/2021,5313612,4586426,727186,154158,11.65,10.06,1.59,3380,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,12/04/2021,5390000,4661085,728915,161313,11.82,10.22,1.6,3537,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,13/04/2021,5571878,4836246,735632,166815,12.22,10.6,1.61,3658,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,14/04/2021,5754919,4996672,758247,169014,12.62,10.96,1.66,3706,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,15/04/2021,5935146,5163344,771802,166276,13.01,11.32,1.69,3646,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,16/04/2021,6093016,5305604,787412,162428,13.36,11.63,1.73,3562,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,29/04/2021,7715006,6806565,908441,145938,16.92,14.92,1.99,3200,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,30/04/2021,7865213,6926650,938563,151115,17.25,15.19,2.06,3314,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,01/05/2021,7971470,7002992,968478,136313,17.48,15.36,2.12,2989,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,02/05/2021,7997902,7025492,972410,123279,17.54,15.4,2.13,2703,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,03/05/2021,8039793,7051772,988021,117870,17.63,15.46,2.17,2585,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,04/05/2021,8197011,7149293,1047718,115766,17.97,15.68,2.3,2538,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,05/05/2021,8391513,7261176,1130337,119075,18.4,15.92,2.48,2611,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,06/05/2021,8591061,7399515,1191546,125151,18.84,16.22,2.61,2744,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,07/05/2021,8820691,7555386,1265305,136497,19.34,16.57,2.77,2993,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,08/05/2021,9001747,7660652,1341095,147182,19.74,16.8,2.94,3227,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,09/05/2021,9082597,7688877,1393720,154956,19.92,16.86,3.06,3398,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,10/05/2021,9122759,7718272,1404487,154709,20,16.92,3.08,3392,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,19/05/2021,10383925,8279961,2103964,142854,22.77,18.16,4.61,3132,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,20/05/2021,10549521,8397337,2152184,144001,23.13,18.41,4.72,3158,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,21/05/2021,10758782,8531073,2227709,150631,23.59,18.71,4.88,3303,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,22/05/2021,10958659,8638944,2319715,156577,24.03,18.94,5.09,3433,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,23/05/2021,11067550,8701971,2365579,162824,24.27,19.08,5.19,3570,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,24/05/2021,11149468,8735231,2414237,163805,24.45,19.15,5.29,3592,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,25/05/2021,11242209,8807373,2434836,149834,24.65,19.31,5.34,3285,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,26/05/2021,11331066,8878491,2452575,135306,24.85,19.47,5.38,2967,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,27/05/2021,11503476,8988267,2515209,136279,25.22,19.71,5.52,2988,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,28/05/2021,11676733,9084600,2592133,131136,25.6,19.92,5.68,2875,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,29/05/2021,11906697,9208883,2697814,135434,26.11,20.19,5.92,2970,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,30/05/2021,12119901,9361218,2758683,150336,26.58,20.53,6.05,3296,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,31/05/2021,12257297,9476406,2780891,158261,26.88,20.78,6.1,3470,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,01/06/2021,12497078,9667003,2830075,179267,27.4,21.2,6.21,3931,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,02/06/2021,12801115,9924476,2876639,210007,28.07,21.76,6.31,4605,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,03/06/2021,13079195,10158653,2920542,225103,28.68,22.27,6.4,4936,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,04/06/2021,13374067,10417359,2956708,242476,29.33,22.84,6.48,5317,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,05/06/2021,13730521,10733428,2997093,260546,30.11,23.54,6.57,5713,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,06/06/2021,14092493,11071365,3021128,281799,30.9,24.28,6.62,6179,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,07/06/2021,14336164,11290468,3045696,296981,31.43,24.76,6.68,6512,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,29/07/2021,31075801,24542819,6532982,343062,68.14,53.82,14.32,7522,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,30/07/2021,31471074,24754641,6716433,342256,69.01,54.28,14.73,7505,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,31/07/2021,31877998,24966105,6911893,348605,69.9,54.74,15.16,7644,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,01/08/2021,32148787,25092667,7056120,346508,70.49,55.02,15.47,7598,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,02/08/2021,32335391,25178202,7157189,350735,70.9,55.21,15.69,7691,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,03/08/2021,32695882,25337678,7358204,352214,71.69,55.56,16.13,7723,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,04/08/2021,33335932,25646674,7689258,382951,73.1,56.24,16.86,8397,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,05/08/2021,33735965,25806439,7929526,380023,73.97,56.59,17.39,8333,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,06/08/2021,34134158,25950647,8183511,380441,74.85,56.9,17.94,8342,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,07/08/2021,34430142,26028829,8401313,364592,75.5,57.07,18.42,7994,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,08/08/2021,34624926,26076234,8548692,353734,75.92,57.18,18.74,7756,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
Argentina,ARG,09/08/2021,34902791,26179454,8723337,366771,76.53,57.4,19.13,8042,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health
